Topic,2020/1/1-2020/6/1,2020/6/1-2021/1/1,2021/1/1-2021/6/1,2021/6/1-2022/1/1,2022/1/1-2022/6/1
Movie Genre,1,0,0,0,0
Musician,33,5,0,0,0
Athlete,21,10,0,0,0
TV Episodes,18,7,0,0,0
Holiday,9,10,0,0,0
Sport,20,13,0,0,0
Journalist,342,114,0,0,0
Product,11,2,0,0,0
Entertainment Personality,59,26,0,0,0
Interests and Hobbies,69,29,0,0,0
Politician,1317,634,0,0,0
Person,1678,760,0,0,0
Movie,1,0,0,0,0
Multimedia Franchise,5,2,0,0,0
Place,0,1,0,0,0
Reoccurring Trends,3,2,0,0,0
Baseball Game,1,2,0,0,0
Viral Accounts,1,0,0,0,0
Digital Creator,0,2,0,0,0
Sports Personality,14,2,0,0,0
Actor,50,14,0,0,0
Soccer Match,3,5,0,0,0
Ongoing News Story,1959,897,0,0,0
Entities [Entity Service],111,35,0,0,0
Brand,733,338,0,0,0
Interests and Hobbies Category,136,53,0,0,0
Video Game,1,0,0,0,0
Sports League,25,23,0,0,0
Basketball Game,3,0,0,0,0
Brand Vertical,342,157,0,0,0
Brand Category,472,195,0,0,0
Political Body,230,87,0,0,0
Radio Station,1,0,0,0,0
TV Shows,56,31,0,0,0
Book Genre,1,0,0,0,0
Sports Event,10,7,0,0,0
Events [Entity Service],852,453,0,0,0
Sports Team,20,11,0,0,0
Music Genre,23,5,0,0,0
Concert,2,0,0,0,0
Coach,2,2,0,0,0
Interests and Hobbies Vertical,121,42,0,0,0
